programme,source_folder,total_major_units,requirement_structure,competency,status,curriculum_evidence,interpretation,source_pdf,limitations
Big Data Management and Applications,大数据管理与应用,72,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,MGT2020 Principles of Management 管理原理 3; BMA3011 Introduction to System Analysis and; BMA3301 Introduction to Business Intelligence; BMA4001 Introduction to Deep Learning for; 学生可根据其 CGPA 选择 BMA4270 大數據管理论文 / BMA4280 大數據管理论文方向（二）,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,study_scheme_-_bma_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Big Data Management and Applications,大数据管理与应用,72,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Core,STA2001* Probability and Statistics I 概率及統計（一） 3; BMA2020 Mathematical Modeling and; MAT1001* Calculus I 微積分（一） 3; MAT1011* Honours Calculus I 微積分榮譽課程（一） 3; MAT2040 Linear Algebra 線性代數 3,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",study_scheme_-_bma_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Big Data Management and Applications,大数据管理与应用,72,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Core,STA2001* Probability and Statistics I 概率及統計（一） 3; BMA3002 Statistical Learning for Business 商業統計學習 3; STA2002 Probability and Statistics II 概率及統計（二） 3,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",study_scheme_-_bma_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Big Data Management and Applications,大数据管理与应用,72,"required courses, major electives, streams/specializations",Programming and computing ability,Supporting / Optional,BMA2010 Programming for Business 商業編程 3,Students are expected to use computational tools or programming to solve disciplinary problems.,study_scheme_-_bma_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Big Data Management and Applications,大数据管理与应用,72,"required courses, major electives, streams/specializations","Data, digital, and AI literacy",Core,BMA3001 Data Analytics for Business 商業數據分析 3; ACT4311 Data Mining for Accounting Analytics 會計分析中的數據挖掘 3; ACT4321 Accounting Database and Data; BMA4001 Introduction to Deep Learning for; BMA4020 Pricing Analytics 定價分析 3,"The programme includes data-centric, digital, analytics, or AI-related training.",study_scheme_-_bma_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Big Data Management and Applications,大数据管理与应用,72,"required courses, major electives, streams/specializations",Research and methodological ability,Core,BMA4270* Thesis in Big Data Management 大數據管理論文 3; BMA4280* Thesis in Big Data Management II 大數據管理論文（二） 3; BMA4312* Directed Research in Big Data; BMA4313* Directed Research in Big Data; MGT4188 Internship / Practicum / Research 實習/研究 3,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",study_scheme_-_bma_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Big Data Management and Applications,大数据管理与应用,72,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,ACT2111 Introductory Financial Accounting 財務會計導論 3; ACT4253 Business Ethics and Corporate Social; DMS2030 Operations Management 運營管理 3; ECO2011 Introductory Microeconomics 微觀經濟學導論 3; FIN2010 Financial Management 財務管理 3,The programme prepares students for specialized disciplinary or professional domains.,study_scheme_-_bma_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Big Data Management and Applications,大数据管理与应用,72,"required courses, major electives, streams/specializations",Practical application and industry readiness,Supporting / Optional,DMS3002 Applied Probability and Stochastic; MGT4188 Internship / Practicum / Research 實習/研究 3,"The curriculum includes applied, professional, practice-oriented, or workplace-facing training.",study_scheme_-_bma_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Marketing and Communication,市场营销,63,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,MGT2020 Principles of Management 管理原理 3; BMA4001 Introduction to Deep Lea rning for; CSC1001 Introduction to Computer Science:; ECO3160 Game Theory and Business Strategy 博弈論與商業戰略 3; MKT4930 Advanced Theory and Issues in Outdoor,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,study_scheme_-_mktg_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Marketing and Communication,市场营销,63,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Core,STA2001 Probability and Statistics I 概率及統計（一） 3; MKT3060 Quantitative Marketing Methods in the; BMA2020 Mathematical Modeling and; ECO3211 Quantitative Methods for Policy; MKT3060 Quantitative Marketing Methods in the AI,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",study_scheme_-_mktg_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Marketing and Communication,市场营销,63,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Core,ECO2121 Introductory Statistics 統計學導論 3; STA2001 Probability and Statistics I 概率及統計（一） 3; BMA3002 Statistical Learning for Business 商業統計學習 3; ECO3121 Introductory Econometrics 計量經濟學導論 3; STA2002 Probability and Statistics II 概率及統計（二） 3,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",study_scheme_-_mktg_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Marketing and Communication,市场营销,63,"required courses, major electives, streams/specializations",Programming and computing ability,Supporting / Optional,BMA2010 Programming for Business 商業編程 3,Students are expected to use computational tools or programming to solve disciplinary problems.,study_scheme_-_mktg_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Marketing and Communication,市场营销,63,"required courses, major electives, streams/specializations","Data, digital, and AI literacy",Core,MKT3310 Marketing Analytics 數據驅動的營銷分析 3; MKT4180 Artificial Intelligence Applications in; MKT4220 Big Data Marketing 大數據營銷 3; MKT3320 Digital Consumer Analytics 数字消费者洞察 3; STA4030 Categorical Data Analysis 範疇性數據分析 3,"The programme includes data-centric, digital, analytics, or AI-related training.",study_scheme_-_mktg_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Marketing and Communication,市场营销,63,"required courses, major electives, streams/specializations",Research and methodological ability,Core,MKT4120 Marketing Research 市場研究 3; MKT3060 Quantitative Marketing Methods in the; CSC1002 Computational Laboratory 計算機實驗 1; ECO3211 Quantitative Methods for Policy; MGT4188 Internship / Practicum / Research 實習/研究 3,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",study_scheme_-_mktg_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Marketing and Communication,市场营销,63,"required courses, major electives, streams/specializations","Communication, writing, and presentation",Supporting / Optional,MKT3030 Integrated Marketing Communication 整合營銷傳播 3; Research in Marketing and Communication I / MKT4313 Directed Research in Marketing and,"The curriculum cultivates academic, professional, or public communication abilities.",study_scheme_-_mktg_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Marketing and Communication,市场营销,63,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,ACT2111 Introductory Financial Accounting 財務會計導論 3; ACT4253 Business Ethics and Corporate Social; DMS2030 Operations Management 運營管理 3; ECO2011 Introductory Microeconomics 微觀經濟學導論 3; FIN2010 Financial Management 財務管理 3,The programme prepares students for specialized disciplinary or professional domains.,study_scheme_-_mktg_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Marketing and Communication,市场营销,63,"required courses, major electives, streams/specializations",Practical application and industry readiness,Core,MGT4020 Case Study 案例分析 3; MGT4188 Internship / Practicum / Research 實習/研究 3; MGT4189 Entrepreneurship Practicum 創業實習 3,"The curriculum includes applied, professional, practice-oriented, or workplace-facing training.",study_scheme_-_mktg_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Applied Psychology,应用心理学,72,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,HSS1006 Introduction to Sociology 社會學導論 3; HSS1008 Principles of Economics 經濟學原理 3; HSS1010 Principles of Political Science 政治學原理 3; HSS1011 Introduction to Social Science; PSY1010 Introduction to Psychology 心理學導論 3,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,Study Scheme - APSY_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Applied Psychology,应用心理学,72,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Supporting / Optional,PSY1020 Quantitative Methods (I) and; PSY2010 Quantitative Methods (II) 定量研究方法論 (II) 3,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",Study Scheme - APSY_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Applied Psychology,应用心理学,72,"required courses, major electives, streams/specializations",Research and methodological ability,Core,PSY1020 Quantitative Methods (I) and; PSY2010 Quantitative Methods (II) 定量研究方法論 (II) 3; PSY4020 Research Method and Writing I 研究方法與構寫研究報告 (I) 3; PSY4030 Research Method and Writing II 研究方法與構寫研究報告 (II) 3,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",Study Scheme - APSY_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Applied Psychology,应用心理学,72,"required courses, major electives, streams/specializations","Communication, writing, and presentation",Core,HSS1004 Advanced Academic Writing 高級學術寫作 3; PSY4020 Research Method and Writing I 研究方法與構寫研究報告 (I) 3; PSY4030 Research Method and Writing II 研究方法與構寫研究報告 (II) 3,"The curriculum cultivates academic, professional, or public communication abilities.",Study Scheme - APSY_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Applied Psychology,应用心理学,72,"required courses, major electives, streams/specializations","Language, textual, and cross-cultural competence",Supporting / Optional,PSY3140 Cross-Cultural Psychology 跨文化心理學 3,"Students are expected to work with language, texts, translation, culture, or intercultural meaning.",Study Scheme - APSY_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Applied Psychology,应用心理学,72,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Supporting / Optional,HSS1008 Principles of Economics 經濟學原理 3; PSY4160 Clinical and Counselling Psychology 臨床與諮詢心理學 3,The programme prepares students for specialized disciplinary or professional domains.,Study Scheme - APSY_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Mathematics and Applied Mathematics,数学与应用数学,70,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Supporting / Optional,CSC1003 Introduction to Computer; DDA4250 Mathematical Introduction to Deep,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,Study Scheme - MATH_2024-25 and thereafter_Circular (AB2025_C015).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Mathematics and Applied Mathematics,数学与应用数学,70,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Core,CSC3001 Discrete Mathematics 離散數學 3; RMS4050 Stochastic Calculus for Finance and; DDA4250 Mathematical Introduction to Deep,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",Study Scheme - MATH_2024-25 and thereafter_Circular (AB2025_C015).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Mathematics and Applied Mathematics,数学与应用数学,70,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Supporting / Optional,ECO3121 Introductory Econometrics 計量經濟學導論 3; PHY4260 Statistical Mechanics 統計力學 3,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",Study Scheme - MATH_2024-25 and thereafter_Circular (AB2025_C015).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Mathematics and Applied Mathematics,数学与应用数学,70,"required courses, major electives, streams/specializations",Programming and computing ability,Core,CSC3100 Data Structures 數據結構 3; CSC3002 C/C++ Programming C/C++程序設計 3; AIE3002 AI and Quantum Computing 人工智能與量子計算 3,Students are expected to use computational tools or programming to solve disciplinary problems.,Study Scheme - MATH_2024-25 and thereafter_Circular (AB2025_C015).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Mathematics and Applied Mathematics,数学与应用数学,70,"required courses, major electives, streams/specializations","Data, digital, and AI literacy",Core,CSC1006 Artificial Intelligence for; AIE4001 Machine Learning and; CSC3100 Data Structures 數據結構 3; DDA3020 Machine Learning 機器學習 3; FMA4200 Financial Data Analysis 金融數據分析 3,"The programme includes data-centric, digital, analytics, or AI-related training.",Study Scheme - MATH_2024-25 and thereafter_Circular (AB2025_C015).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Mathematics and Applied Mathematics,数学与应用数学,70,"required courses, major electives, streams/specializations",Research and methodological ability,Core,CSC1002 Computational Laboratory 計算機實驗 1; CSC1004 Computational Laboratory; RMS4001 Simulation Methods for Risk,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",Study Scheme - MATH_2024-25 and thereafter_Circular (AB2025_C015).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Mathematics and Applied Mathematics,数学与应用数学,70,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,Option H# CHM1001 General Chemistry 普通化學 3; Option I# CHM1011 Honours General Chemistry 普通化學榮譽課程 3; BIO1001 General Biology 普通生物學 3; FMA4800 Financial Computation 金融計算 3; BIM3001 Bioinformatics 生物信息學 3,The programme prepares students for specialized disciplinary or professional domains.,Study Scheme - MATH_2024-25 and thereafter_Circular (AB2025_C015).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Data Science and Big Data Technology,数据科学与大数据技术,70,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,CSC1001 Introduction to Computer Science:; DDA2001 Introduction to Data Science 數據科學基礎 3; DDA4250 Mathematical Introduction to Deep; ECO3160 Game Theory and Business Strategy 博弈論與商業戰略 3; MGT2020 Principles of Management 管理學原理 3,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,Study Scheme - DS_2024-25 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Data Science and Big Data Technology,数据科学与大数据技术,70,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Core,MAT1001 Calculus I 微積分（一） 3; MAT1002 Calculus II 微積分（二） 3; MAT1011 Honours Calculus I 微積分榮譽課程（一） 3; MAT1012 Honours Calculus II 微積分榮譽課程（二） 3; MAT2041 Linear Algebra and Applications 線性代數與應用 3,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",Study Scheme - DS_2024-25 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Data Science and Big Data Technology,数据科学与大数据技术,70,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Core,STA2001 Probability and Statistics I 概率及統計（一） 3; STA2002 Probability and Statistics II 概率及統計（二） 3; DDA4010 Bayesian Statistics 貝葉斯統計 3; STA3005 Statistical Computing 統計計算 3; STA3020 Statistical Inference 統計推斷 3,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",Study Scheme - DS_2024-25 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Data Science and Big Data Technology,数据科学与大数据技术,70,"required courses, major electives, streams/specializations",Programming and computing ability,Core,CSC3100 Data Structures 數據結構 3; STA3005 Statistical Computing 統計計算 3; CSC2003 Introduction to Java Programming Java 程序設計導論 3; CSC3002 C/C++ Programming C/C++程序設計 3; CSC4001 Software Engineering 軟件工程 3,Students are expected to use computational tools or programming to solve disciplinary problems.,Study Scheme - DS_2024-25 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Data Science and Big Data Technology,数据科学与大数据技术,70,"required courses, major electives, streams/specializations","Data, digital, and AI literacy",Core,DDA2001 Introduction to Data Science 數據科學基礎 3; CSC3100 Data Structures 數據結構 3; DDA3020 Machine Learning 機器學習 3; DDA3003 Visual Analytics 可視化分析 3; DDA4210 Advanced Machine Learning 高等機器學習 3,"The programme includes data-centric, digital, analytics, or AI-related training.",Study Scheme - DS_2024-25 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Data Science and Big Data Technology,数据科学与大数据技术,70,"required courses, major electives, streams/specializations",Research and methodological ability,Core,CSC1002 Computational Laboratory 計算機實驗 1; DDA3005 Numerical Methods 數值方法 3; DDA4080 Capstone Project 畢業設計 3; ECO3211 Quantitative Methods for Policy,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",Study Scheme - DS_2024-25 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Data Science and Big Data Technology,数据科学与大数据技术,70,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,BIO1008 Chemistry and Life Sciences 化學與生命科學 3; ECO3160 Game Theory and Business Strategy 博弈論與商業戰略 3; ECO3211 Quantitative Methods for Policy; FMA4200 Financial Data Analysis 金融數據分析 3; FMA4800 Financial Computation 金融計算 3,The programme prepares students for specialized disciplinary or professional domains.,Study Scheme - DS_2024-25 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
New Energy Science and Engineering,新能源科学与工程,72,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,Option C# CSC1001 Introduction to Computer Science:; CSC1003 Introduction to Computer Science; CHM3520 Introduction to Materials Science and; CHM3540 Introduction to Functional Materials 功能材料導論 3; ECE2001 Basic Circuit Theory 基本電路理論 3,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,Study Scheme - ENER_2024-25 and thereafter_Circular(AB2025_C047).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
New Energy Science and Engineering,新能源科学与工程,72,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Supporting / Optional,Option F# STA2001 Probability and Statistics I 概率及統計（一） 3,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",Study Scheme - ENER_2024-25 and thereafter_Circular(AB2025_C047).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
New Energy Science and Engineering,新能源科学与工程,72,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Supporting / Optional,Option F# STA2001 Probability and Statistics I 概率及統計（一） 3; PHY3260 Statistical Physics Foundation for AI 人工智能統計物理基礎 3,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",Study Scheme - ENER_2024-25 and thereafter_Circular(AB2025_C047).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
New Energy Science and Engineering,新能源科学与工程,72,"required courses, major electives, streams/specializations","Data, digital, and AI literacy",Core,CSC1006 Artificial Intelligence for Science; CHM4342 AI for Chemistry 化學中的人工智能 3; MSE3001 Computational Materials Science with AI 計算材料科學與人工智能 3; PHY3260 Statistical Physics Foundation for AI 人工智能統計物理基礎 3,"The programme includes data-centric, digital, analytics, or AI-related training.",Study Scheme - ENER_2024-25 and thereafter_Circular(AB2025_C047).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
New Energy Science and Engineering,新能源科学与工程,72,"required courses, major electives, streams/specializations",Research and methodological ability,Core,CSC1002 Computational Laboratory 計算機實驗 1; CSC1004 Computational Laboratory Using; ENE3002* Basic Laboratory of New Energy Science; ERG4901 Capstone Project Ⅰ 畢業設計（一） 3; CHM1002 Chemistry Laboratory 化學實驗 1,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",Study Scheme - ENER_2024-25 and thereafter_Circular(AB2025_C047).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
New Energy Science and Engineering,新能源科学与工程,72,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,Option H# CHM1001 General Chemistry 普通化學 3; Option I# CHM1011 Honours General Chemistry 普通化學榮譽課程 3; CHM2002 Physical Chemistry 物理化學 3; CHM3520 Introduction to Materials Science and; ENE3002* Basic Laboratory of New Energy Science,The programme prepares students for specialized disciplinary or professional domains.,Study Scheme - ENER_2024-25 and thereafter_Circular(AB2025_C047).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Materials Science and Engineering,材料科学与工程,72,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,Option C# CSC1001 Introduction to Computer Science:; CSC1003 Introduction to Computer Science; CHM3520 Introduction to Materials Science and; MSE2001 Chemistry Foundation for Materials 材料的化學基礎 3; MSE2002 Physics Foundation for Materials 材料的物理基礎 3,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,Study Scheme - MSE_2024-25 and thereafter_Circular(AB2025_C047).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Materials Science and Engineering,材料科学与工程,72,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Supporting / Optional,Option F# STA2001 Probability and Statistics I 概率及統計（一） 3,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",Study Scheme - MSE_2024-25 and thereafter_Circular(AB2025_C047).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Materials Science and Engineering,材料科学与工程,72,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Supporting / Optional,Option F# STA2001 Probability and Statistics I 概率及統計（一） 3,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",Study Scheme - MSE_2024-25 and thereafter_Circular(AB2025_C047).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Materials Science and Engineering,材料科学与工程,72,"required courses, major electives, streams/specializations",Programming and computing ability,Supporting / Optional,CSC3100 Data Structures 數據結構 3,Students are expected to use computational tools or programming to solve disciplinary problems.,Study Scheme - MSE_2024-25 and thereafter_Circular(AB2025_C047).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Materials Science and Engineering,材料科学与工程,72,"required courses, major electives, streams/specializations","Data, digital, and AI literacy",Supporting / Optional,CSC1006 Artificial Intelligence for Science; CSC3100 Data Structures 數據結構 3,"The programme includes data-centric, digital, analytics, or AI-related training.",Study Scheme - MSE_2024-25 and thereafter_Circular(AB2025_C047).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Materials Science and Engineering,材料科学与工程,72,"required courses, major electives, streams/specializations",Research and methodological ability,Core,CSC1002 Computational Laboratory 計算機實驗 1; CSC1004 Computational Laboratory Using; MSE2003 Materials Laboratory I 材料實驗 I 2; MSE3003 Materials Laboratory II 材料實驗 II 1; MSE4020 Thesis 畢業設計 3,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",Study Scheme - MSE_2024-25 and thereafter_Circular(AB2025_C047).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Materials Science and Engineering,材料科学与工程,72,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,Option H# CHM1001 General Chemistry 普通化學 3; Option I# CHM1011 Honours General Chemistry 普通化學榮譽課程 3; CHM3520 Introduction to Materials Science and; MSE2001 Chemistry Foundation for Materials 材料的化學基礎 3; MSE2002 Physics Foundation for Materials 材料的物理基礎 3,The programme prepares students for specialized disciplinary or professional domains.,Study Scheme - MSE_2024-25 and thereafter_Circular(AB2025_C047).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
X (CUHK(SZ)) & Materials Science and Engineering (CUHK),材料科学与工程及X双主修课程_ X及材料科学与工程学双主修课程,90,"required courses, major electives, streams/specializations",Research and methodological ability,Core,"(excluding CHM1001/1011 and PHY1010), Research Component , and Major Elective; Research Component: CHM4510,; Research Component: ERG4902; Research Component: PHY4270","Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",X & Materials Science and Engineering Double Major Programme_2025-26 and thereafter.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
X (CUHK(SZ)) & Materials Science and Engineering (CUHK),材料科学与工程及X双主修课程_ X及材料科学与工程学双主修课程,90,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,"4. For Chemistry as 1 st Major, all Major Required (excluding MAT1002 and PHY1010) ,; 5. For New Energy and Engineering as 1st Major, all Major Required (excluding CHM1002),; 6. For Physics as 1st Major, Faculty Package (MAT1001 and PHY1001), all Major Required; 6. 以物理學為第一主修，其學院課程(MAT1001 及 PHY1001)，所有列於第一主修課程",The programme prepares students for specialized disciplinary or professional domains.,X & Materials Science and Engineering Double Major Programme_2025-26 and thereafter.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Physics,物理学,72,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,CSC1003 Introduction to Computer; PHY1010 Principles of Physics II; PHY2020 Principles of Physics III; PHY3310 Electromagnetic Theory I 電磁學（一） 3; PHY3260 Statistical Physics Foundation for AI 人工智能統計物理基礎 3,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,Study Scheme - PHY_2024-25 and thereafter_Circular(AB2025_C047).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Physics,物理学,72,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Core,Option E# STA2001 Probability and Statistics I 概率及統計（一） 3; PHY2610 Mathematical Methods in Physics I 數學物理方法（一） 3; PHY3610 Mathematical Methods in Physics II 數學物理方法（二） 3; PHY4610 Advanced Mathematical Methods in Physics 高等數學物理方法 3,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",Study Scheme - PHY_2024-25 and thereafter_Circular(AB2025_C047).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Physics,物理学,72,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Core,Option E# STA2001 Probability and Statistics I 概率及統計（一） 3; PHY4510 Statistical Mechanics and its; PHY3260 Statistical Physics Foundation for AI 人工智能統計物理基礎 3; PHY4510 Statistical Mechanics and its Applications 統計物理及應用 3; PHY3210 Experimental Physics Project Experience I 實驗物理課題（一） 1,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",Study Scheme - PHY_2024-25 and thereafter_Circular(AB2025_C047).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
